ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
433,10.41,1.72,0.48,-0.11,-0.12,-0.12,0.15
719,15.59,1.72,0.48,-0.11,-0.12,-0.12,0.15
887,13.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
1036,9.26,1.72,0.48,-0.11,-0.12,-0.12,0.15
1221,17.38,1.72,0.48,-0.11,-0.12,-0.12,0.15
1566,16.58,1.72,0.48,-0.11,-0.12,-0.12,0.15
1580,14.69,1.72,0.48,-0.11,-0.12,-0.12,0.15
1620,15.27,1.72,0.48,-0.11,-0.12,-0.12,0.15
1627,12.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
1685,14.31,1.72,0.48,-0.11,-0.12,-0.12,0.15
1862,16.08,1.72,0.48,-0.11,-0.12,-0.12,0.15
1863,15.45,1.72,0.48,-0.11,-0.12,-0.12,0.15
1864,14.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
1865,16.79,1.72,0.48,-0.11,-0.12,-0.12,0.15
1866,12.54,1.72,0.48,-0.11,-0.12,-0.12,0.15
1915,18.05,1.72,0.48,-0.11,-0.12,-0.12,0.15
1916,14.95,1.72,0.48,-0.11,-0.12,-0.12,0.15
1917,14.41,1.72,0.48,-0.11,-0.12,-0.12,0.15
1943,15.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
1980,13.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
1981,15.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
2059,15.98,1.72,0.48,-0.11,-0.12,-0.12,0.15
2061,16.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
2062,17.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
2063,17.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
2100,16.23,1.72,0.48,-0.11,-0.12,-0.12,0.15
2101,18.72,1.72,0.48,-0.11,-0.12,-0.12,0.15
2102,16.0,1.72,0.48,-0.11,-0.12,-0.12,0.15
2135,18.05,1.72,0.48,-0.11,-0.12,-0.12,0.15
2201,15.36,1.72,0.48,-0.11,-0.12,-0.12,0.15
2202,17.14,1.72,0.48,-0.11,-0.12,-0.12,0.15
2212,13.51,1.72,0.48,-0.11,-0.12,-0.12,0.15
2329,14.57,1.72,0.48,-0.11,-0.12,-0.12,0.15
2340,20.43,1.72,0.48,-0.11,-0.12,-0.12,0.15
2368,15.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
2608,17.48,1.72,0.48,-0.11,-0.12,-0.12,0.15
3102,16.17,1.72,0.48,-0.11,-0.12,-0.12,0.15
3103,15.33,1.72,0.48,-0.11,-0.12,-0.12,0.15
3122,14.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
3199,15.03,1.72,0.48,-0.11,-0.12,-0.12,0.15
3200,14.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
3271,16.58,1.72,0.48,-0.11,-0.12,-0.12,0.15
3288,15.35,1.72,0.48,-0.11,-0.12,-0.12,0.15
3352,15.97,1.72,0.48,-0.11,-0.12,-0.12,0.15
3360,16.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
3361,19.56,1.72,0.48,-0.11,-0.12,-0.12,0.15
3362,18.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
3551,16.72,1.72,0.48,-0.11,-0.12,-0.12,0.15
3552,13.05,1.72,0.48,-0.11,-0.12,-0.12,0.15
3553,16.43,1.72,0.48,-0.11,-0.12,-0.12,0.15
3554,15.91,1.72,0.48,-0.11,-0.12,-0.12,0.15
3671,16.5,1.72,0.48,-0.11,-0.12,-0.12,0.15
3691,14.95,1.72,0.48,-0.11,-0.12,-0.12,0.15
3752,15.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
3753,15.47,1.72,0.48,-0.11,-0.12,-0.12,0.15
3757,19.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
3838,15.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
3908,17.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
3988,17.94,1.72,0.48,-0.11,-0.12,-0.12,0.15
4015,16.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
4034,18.53,1.72,0.48,-0.11,-0.12,-0.12,0.15
4055,14.95,1.72,0.48,-0.11,-0.12,-0.12,0.15
4179,15.31,1.72,0.48,-0.11,-0.12,-0.12,0.15
4183,14.17,1.72,0.48,-0.11,-0.12,-0.12,0.15
4197,15.03,1.72,0.48,-0.11,-0.12,-0.12,0.15
4257,16.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
4341,16.08,1.72,0.48,-0.11,-0.12,-0.12,0.15
4401,16.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
4450,17.28,1.72,0.48,-0.11,-0.12,-0.12,0.15
4486,15.61,1.72,0.48,-0.11,-0.12,-0.12,0.15
4487,17.49,1.72,0.48,-0.11,-0.12,-0.12,0.15
4503,15.82,1.72,0.48,-0.11,-0.12,-0.12,0.15
4544,17.39,1.72,0.48,-0.11,-0.12,-0.12,0.15
4581,20.74,1.72,0.48,-0.11,-0.12,-0.12,0.15
4596,16.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
4660,18.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
4688,19.6,1.72,0.48,-0.11,-0.12,-0.12,0.15
4769,17.51,1.72,0.48,-0.11,-0.12,-0.12,0.15
4947,18.08,1.72,0.48,-0.11,-0.12,-0.12,0.15
4953,14.94,1.72,0.48,-0.11,-0.12,-0.12,0.15
4954,12.55,1.72,0.48,-0.11,-0.12,-0.12,0.15
4957,15.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
5011,16.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
5131,14.83,1.72,0.48,-0.11,-0.12,-0.12,0.15
5143,14.06,1.72,0.48,-0.11,-0.12,-0.12,0.15
5189,17.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
5324,15.34,1.72,0.48,-0.11,-0.12,-0.12,0.15
5332,15.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
5370,15.23,1.72,0.48,-0.11,-0.12,-0.12,0.15
5381,16.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
5496,16.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
5587,13.89,1.72,0.48,-0.11,-0.12,-0.12,0.15
5590,19.91,1.72,0.48,-0.11,-0.12,-0.12,0.15
5604,17.38,1.72,0.48,-0.11,-0.12,-0.12,0.15
5620,17.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
5626,14.34,1.72,0.48,-0.11,-0.12,-0.12,0.15
5645,17.2,1.72,0.48,-0.11,-0.12,-0.12,0.15
5646,15.51,1.72,0.48,-0.11,-0.12,-0.12,0.15
5653,16.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
5660,15.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
5693,16.79,1.72,0.48,-0.11,-0.12,-0.12,0.15
5731,15.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
5751,14.96,1.72,0.48,-0.11,-0.12,-0.12,0.15
5786,17.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
5797,18.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
5828,16.0,1.72,0.48,-0.11,-0.12,-0.12,0.15
5836,15.0,1.72,0.48,-0.11,-0.12,-0.12,0.15
5863,15.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
5869,17.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
5879,17.62,1.72,0.48,-0.11,-0.12,-0.12,0.15
6037,18.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
6047,17.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
6050,15.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
6053,15.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
6063,16.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
6178,15.79,1.72,0.48,-0.11,-0.12,-0.12,0.15
6239,18.61,1.72,0.48,-0.11,-0.12,-0.12,0.15
6455,14.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
6456,16.07,1.72,0.48,-0.11,-0.12,-0.12,0.15
6489,19.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
6491,18.72,1.72,0.48,-0.11,-0.12,-0.12,0.15
6569,16.67,1.72,0.48,-0.11,-0.12,-0.12,0.15
6611,16.9,1.72,0.48,-0.11,-0.12,-0.12,0.15
7025,18.08,1.72,0.48,-0.11,-0.12,-0.12,0.15
7088,16.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
7092,15.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
7236,18.32,1.72,0.48,-0.11,-0.12,-0.12,0.15
7335,17.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
7336,18.91,1.72,0.48,-0.11,-0.12,-0.12,0.15
7341,16.96,1.72,0.48,-0.11,-0.12,-0.12,0.15
7350,17.21,1.72,0.48,-0.11,-0.12,-0.12,0.15
7358,14.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
7474,18.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
7480,17.24,1.72,0.48,-0.11,-0.12,-0.12,0.15
7482,16.66,1.72,0.48,-0.11,-0.12,-0.12,0.15
7753,18.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
7822,17.34,1.72,0.48,-0.11,-0.12,-0.12,0.15
7839,17.83,1.72,0.48,-0.11,-0.12,-0.12,0.15
