ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
632,60289.31995,142.7072408,8.25046,143.2909505,8.4698108,1.18e-05,r,23.025,22.981,0.085,0.085,23.986,23.986
632,60293.34247,144.6014516,8.8158938,143.2660017,8.4266968,2.11e-05,i,22.652,22.884,0.135,0.135,23.34,23.307
632,60295.34883,141.989729,8.6301382,143.2396405,8.4103379,1.51e-05,i,22.749,22.91,0.119,0.119,23.459,23.436
632,60298.35073,141.7846855,8.720446,143.1832018,8.392405,2.08e-05,z,22.839,22.707,0.182,0.182,22.94,22.902
632,60303.34172,143.0411449,9.2770025,143.0453146,8.3797712,7e-06,r,22.924,23.019,0.061,0.061,24.264,24.259
632,60303.35343,143.0411449,9.2770025,143.0449287,8.3797711,1.11e-05,i,22.797,22.984,0.099,0.099,23.59,23.584
632,60315.2443,141.4554595,8.1858813,142.508926,8.4349664,1.36e-05,r,22.703,22.809,0.084,0.084,23.783,23.771
632,60315.26813,141.4554595,8.1858813,142.5075253,8.4352089,1.17e-05,i,22.586,22.744,0.09,0.09,23.595,23.583
632,60322.24819,141.0466609,9.4406351,142.0713698,8.5214592,7.9e-06,g,23.171,23.228,0.06,0.06,24.591,24.558
632,60322.24909,142.2599584,6.7408211,142.071308,8.5214731,7e-06,g,23.148,23.135,0.059,0.059,24.754,24.583
632,60322.2719,141.0466609,9.4406351,142.0697008,8.5218199,5.9e-06,r,22.597,22.693,0.051,0.051,24.315,24.282
632,60322.2728,142.2599584,6.7408211,142.0696373,8.5218195,6.2e-06,r,22.653,22.664,0.055,0.055,24.357,24.184
632,60328.25607,140.9158928,9.8725584,141.6375241,8.6246605,1.03e-05,i,22.546,22.661,0.079,0.079,23.619,23.579
632,60328.27895,140.9158928,9.8725584,141.6357169,8.625069,1.76e-05,z,22.44,22.444,0.136,0.136,22.982,22.943
632,60328.30091,141.6678165,7.1548011,141.6340047,8.6255436,1.71e-05,z,22.361,22.523,0.134,0.133,23.006,22.962
632,60329.25425,142.8361496,7.6203923,141.5610533,8.6441922,9.4e-06,g,23.201,23.047,0.065,0.065,24.462,24.39
632,60329.27634,140.7371655,9.7972372,141.5592889,8.6446124,1.15e-05,r,22.549,22.651,0.072,0.072,23.83,23.794
39265,60334.32148,197.7877961,-29.3833258,197.6400412,-30.351394,3e-06,y,18.388,18.382,0.009,0.009,22.138,22.13
632,60340.20234,140.7268621,9.0201761,140.6614029,8.8967053,1.04e-05,i,22.245,22.281,0.089,0.089,23.291,23.291
632,60340.22619,140.7268621,9.0201761,140.6592883,8.8973584,1.37e-05,z,22.272,22.267,0.119,0.119,22.942,22.942
632,60340.25498,140.7268621,9.0201761,140.6567561,8.898077,2.46e-05,y,22.176,22.308,0.216,0.216,22.233,22.233
